2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000,  5.505513196639306E+06,  2.524412804309124E+08, -1.152148580018218E+07
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000,  3.804639677274736E+06,  2.510993953194682E+08, -1.137834257923704E+07
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000,  2.103446616036378E+06,  2.497418532478634E+08, -1.123448753296843E+07
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000,  4.020364803098564E+05,  2.483684775227299E+08, -1.108991778108622E+07
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000, -1.299484737732297E+06,  2.469790885974392E+08, -1.094463047848319E+07
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000, -3.001007390029240E+06,  2.455735040280721E+08, -1.079862281869455E+07
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, -4.702418036196282E+06,  2.441515384303075E+08, -1.065189203837657E+07
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000, -6.403599301454691E+06,  2.427130034373240E+08, -1.050443542343268E+07
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000, -8.104429728540868E+06,  2.412577076585158E+08, -1.035625031755622E+07
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000, -9.804783623103185E+06,  2.397854566383587E+08, -1.020733413392444E+07
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000, -1.150453089200387E+07,  2.382960528141926E+08, -1.005768437036102E+07
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000, -1.320353687393925E+07,  2.367892954713002E+08, -9.907298627336845E+06
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000, -1.490166216195077E+07,  2.352649806938998E+08, -9.756174626857162E+06
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -1.659876241773157E+07,  2.337229013118716E+08, -9.604310229196727E+06
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -1.829468817800035E+07,  2.321628468449250E+08, -9.451703444471821E+06
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -1.998928465337845E+07,  2.305846034475228E+08, -9.298352437596127E+06
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -2.168239152000993E+07,  2.289879538581418E+08, -9.144255527585983E+06
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -2.337384270370340E+07,  2.273726773551630E+08, -8.989411184086099E+06
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -2.506346615591878E+07,  2.257385497197570E+08, -8.833818024409041E+06
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -2.675108362069088E+07,  2.240853432046773E+08, -8.677474813466251E+06
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, -2.843651039159816E+07,  2.224128265074047E+08, -8.520380467571437E+06
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000, -3.011955505803479E+07,  2.207207647464141E+08, -8.362534061982498E+06
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000, -3.180001924020379E+07,  2.190089194399690E+08, -8.203934841493800E+06
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -3.347769731235513E+07,  2.172770484874330E+08, -8.044582233289972E+06
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -3.515237611383578E+07,  2.155249061534898E+08, -7.884475861415461E+06
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -3.682383464751980E+07,  2.137522430558779E+08, -7.723615562422380E+06
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000, -3.849184376516253E+07,  2.119588061573509E+08, -7.562001401948571E+06
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, -4.015616583919260E+07,  2.101443387626066E+08, -7.399633692115307E+06
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000, -4.181655442042351E+07,  2.083085805209502E+08, -7.236513009726435E+06
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000, -4.347275388113821E+07,  2.064512674354690E+08, -7.072640215303257E+06
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000, -4.512449904297569E+07,  2.045721318795218E+08, -6.908016473022074E+06
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000, -4.677151478902805E+07,  2.026709026213823E+08, -6.742643271635085E+06
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -4.841351565953930E+07,  2.007473048579248E+08, -6.576522446465597E+06
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -5.005020543058329E+07,  1.988010602582996E+08, -6.409656202570662E+06
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -5.168127667508793E+07,  1.968318870186139E+08, -6.242047139166377E+06
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -5.330641030556469E+07,  1.948394999287178E+08, -6.073698275413826E+06
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000, -5.492527509789890E+07,  1.928236104522758E+08, -5.904613077663116E+06
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000, -5.653752719555554E+07,  1.907839268214098E+08, -5.734795488256685E+06
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000, -5.814280959356011E+07,  1.887201541472965E+08, -5.564249955994241E+06
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000, -5.974075160162273E+07,  1.866319945482243E+08, -5.392981468364678E+06
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000, -6.133096828578892E+07,  1.845191472967318E+08, -5.220995585654154E+06
