2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000, -1.287550548561378E+08, -1.852339782219252E+08,  3.347941126655936E+05
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000, -1.264474852866903E+08, -1.855817478318134E+08,  3.301313899475187E+05
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000, -1.241288613860699E+08, -1.859131172741925E+08,  3.254422503417134E+05
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000, -1.217992395003141E+08, -1.862278324574179E+08,  3.207267531066239E+05
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000, -1.194586799339112E+08, -1.865256359062939E+08,  3.159849648891240E+05
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000, -1.171072470933855E+08, -1.868062667551955E+08,  3.112169600181431E+05
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, -1.147450096350447E+08, -1.870694607442658E+08,  3.064228208081126E+05
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000, -1.123720406169468E+08, -1.873149502189176E+08,  3.016026378711164E+05
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000, -1.099884176551404E+08, -1.875424641328731E+08,  2.967565104391128E+05
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000, -1.075942230842254E+08, -1.877517280549958E+08,  2.918845466956645E+05
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000, -1.051895441222743E+08, -1.879424641801715E+08,  2.869868641175479E+05
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000, -1.027744730401486E+08, -1.881143913445168E+08,  2.820635898263156E+05
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000, -1.003491073352344E+08, -1.882672250451984E+08,  2.771148609501570E+05
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -9.791354990961422E+07, -1.884006774651641E+08,  2.721408249956220E+05
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -9.546790925268109E+07, -1.885144575031002E+08,  2.671416402300745E+05
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -9.301229962819035E+07, -1.886082708089393E+08,  2.621174760739654E+05
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -9.054684126573175E+07, -1.886818198252618E+08,  2.570685135039389E+05
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -8.807166055659187E+07, -1.887348038349423E+08,  2.519949454662353E+05
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -8.558689025396225E+07, -1.887669190154124E+08,  2.468969773003459E+05
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -8.309266967743212E+07, -1.887778584999198E+08,  2.417748271731883E+05
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, -8.058914492168809E+07, -1.887673124461809E+08,  2.366287265233546E+05
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000, -7.807646906932436E+07, -1.887349681128381E+08,  2.314589205160141E+05
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000, -7.555480240764597E+07, -1.886805099441434E+08,  2.262656685071290E+05
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -7.302431264932691E+07, -1.886036196633086E+08,  2.210492445182055E+05
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -7.048517515676074E+07, -1.885039763749706E+08,  2.158099377201647E+05
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -6.793757316991599E+07, -1.883812566772357E+08,  2.105480529268831E+05
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000, -6.538169803748176E+07, -1.882351347837785E+08,  2.052639110975116E+05
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, -6.281774945105975E+07, -1.880652826564805E+08,  1.999578498473614E+05
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000, -6.024593568212844E+07, -1.878713701491072E+08,  1.946302239672095E+05
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000, -5.766647382147128E+07, -1.876530651625277E+08,  1.892814059498757E+05
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000, -5.507959002072675E+07, -1.874100338119938E+08,  1.839117865241468E+05
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000, -5.248551973568015E+07, -1.871419406069956E+08,  1.785217751947641E+05
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -4.988450797087843E+07, -1.868484486442243E+08,  1.731118007884473E+05
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -4.727680952510746E+07, -1.865292198141675E+08,  1.676823120041788E+05
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -4.466268923722766E+07, -1.861839150218700E+08,  1.622337779680192E+05
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -4.204242223181865E+07, -1.858121944223876E+08,  1.567666887901723E+05
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000, -3.941629416403515E+07, -1.854137176714603E+08,  1.512815561244637E+05
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000, -3.678460146302678E+07, -1.849881441919241E+08,  1.457789137278348E+05
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000, -3.414765157322252E+07, -1.845351334563692E+08,  1.402593180193603E+05
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000, -3.150576319272687E+07, -1.840543452865407E+08,  1.347233486372381E+05
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000, -2.885926650801909E+07, -1.835454401699626E+08,  1.291716089917719E+05
