2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000,  1.554882547569455E+08, -4.360962356099582E+07,  3.561334983940700E+06
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000,  1.560173703887298E+08, -4.127658886426731E+07,  3.569106946219070E+06
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000,  1.565103136368631E+08, -3.893406259132937E+07,  3.576065572807414E+06
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000,  1.569669039873354E+08, -3.658256694550259E+07,  3.582207752806842E+06
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000,  1.573869672295341E+08, -3.422262781160460E+07,  3.587530520301877E+06
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000,  1.577703355310026E+08, -3.185477472056977E+07,  3.592031055948770E+06
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000,  1.581168475135019E+08, -2.947954081277899E+07,  3.595706688591176E+06
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000,  1.584263483303720E+08, -2.709746280003271E+07,  3.598554896903004E+06
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000,  1.586986897451833E+08, -2.470908092610066E+07,  3.600573311058461E+06
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000,  1.589337302116706E+08, -2.231493892577993E+07,  3.601759714429099E+06
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000,  1.591313349549387E+08, -1.991558398239250E+07,  3.602112045307763E+06
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000,  1.592913760539267E+08, -1.751156668365258E+07,  3.601628398659316E+06
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000,  1.594137325251175E+08, -1.510344097583272E+07,  3.600307027897916E+06
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000,  1.594982904074740E+08, -1.269176411615757E+07,  3.598146346690665E+06
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000,  1.595449428485871E+08, -1.027709662335271E+07,  3.595144930787347E+06
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000,  1.595535901920113E+08, -7.860002226275722E+06,  3.591301519875953E+06
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000,  1.595241400657676E+08, -5.441047810555719E+06,  3.586615019463582E+06
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000,  1.594565074719873E+08, -3.020803363167085E+06,  3.581084502782301E+06
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000,  1.593506148776697E+08, -5.998419148624886E+05,  3.574709212719320E+06
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000,  1.592063923065232E+08,  1.821260519610249E+06,  3.567488563770855E+06
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000,  1.590237774318575E+08,  4.241925003583267E+06,  3.559422144018810E+06
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000,  1.588027156704899E+08,  6.661569742912127E+06,  3.550509717129288E+06
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000,  1.585431602776287E+08,  9.079610152864255E+06,  3.540751224371762E+06
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000,  1.582450724426908E+08,  1.149545892752941E+07,  3.530146786657491E+06
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000,  1.579084213860079E+08,  1.390852611182957E+07,  3.518696706595627E+06
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000,  1.575331844563746E+08,  1.631821917620581E+07,  3.506401470565108E+06
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000,  1.571193472293845E+08,  1.872394309406021E+07,  3.493261750800373E+06
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000,  1.566669036064996E+08,  2.112510042203111E+07,  3.479278407488457E+06
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000,  1.561758559147934E+08,  2.352109138318016E+07,  3.464452490875163E+06
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000,  1.556462150073042E+08,  2.591131395317022E+07,  3.448785243377417E+06
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000,  1.550780003639321E+08,  2.829516394951344E+07,  3.432278101699179E+06
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000,  1.544712401928084E+08,  3.067203512396893E+07,  3.414932698947856E+06
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000,  1.538259715320626E+08,  3.304131925817011E+07,  3.396750866748400E+06
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000,  1.531422403519093E+08,  3.540240626256172E+07,  3.377734637352036E+06
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000,  1.524201016569720E+08,  3.775468427872680E+07,  3.357886245736958E+06
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000,  1.516596195887592E+08,  4.009753978518391E+07,  3.337208131698178E+06
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000,  1.508608675282022E+08,  4.243035770673425E+07,  3.315702941924136E+06
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000,  1.500239281981634E+08,  4.475252152743895E+07,  3.293373532057723E+06
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000,  1.491488937658176E+08,  4.706341340730424E+07,  3.270222968739709E+06
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000,  1.482358659448077E+08,  4.936241430275338E+07,  3.246254531632781E+06
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000,  1.472849560970712E+08,  5.164890409096090E+07,  3.221471715424441E+06
