"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","albedo"
"455299 (2002 EL6)",2.302,0.5768,9.51,84.94,186.56,0.974,3.63,3.49,5345,0,479,,,18.00,0.537,0.386
"458436 (2011 AL52)",2.804,0.6355,13.43,272.70,171.74,1.022,4.59,4.7,1925,0,145,,,17.40,1.102,0.159
"459683 (2013 MY5)",1.662,0.4532,3.00,102.89,279.00,0.909,2.41,2.14,955,0,180,,,19.70,0.269,0.322
"462238 (2008 CN1)",0.7707,0.3477,7.22,331.46,7.25,0.503,1.04,0.677,2945,1,546,,,20.60,0.227,0.197
"468468 (2004 KH17)",0.7121,0.4983,22.12,79.14,340.70,0.357,1.07,0.601,5473,0,213,1,0,21.90,0.197,0.072
"468727 (2010 JE87)",0.9042,0.4371,16.91,120.49,242.30,0.509,1.30,0.86,4326,0,178,0,2,20.80,0.308,0.108
"469445 (2002 LT24)",0.72,0.4958,0.76,166.11,282.68,0.363,1.08,0.611,6942,0,200,,,22.05,0.143,0.136
"471241 (2011 BX18)",2.876,0.7294,14.55,310.89,303.95,0.778,4.97,4.88,3932,0,488,1,0,18.24,1.451,0.044
"477519 (2010 DJ56)",1.25,0.2453,34.85,149.93,309.28,0.943,1.56,1.4,6379,0,185,,,19.23,0.321,0.327
"480936 (2003 QH5)",1.26,0.2201,17.62,299.23,321.16,0.982,1.54,1.41,6199,0,257,1,0,20.23,0.537,0.056
"483508 (2003 CR1)",1.453,0.4629,12.72,310.96,101.95,0.781,2.13,1.75,5143,0,179,,,20.10,0.202,0.433
"484402 (2007 XH16)",1.187,0.2349,27.43,91.28,58.33,0.908,1.47,1.29,4929,0,449,1,1,19.68,0.452,0.125
"488789 (2004 XK50)",1.451,0.6888,38.21,94.12,103.96,0.452,2.45,1.75,5120,0,107,,,19.30,1.039,0.038
"490581 (2009 WZ104)",0.8554,0.1927,9.83,263.26,10.55,0.691,1.02,0.791,4417,1,1177,0,1,19.96,0.237,0.314
"496816 (1989 UP)",1.861,0.4721,3.86,53.17,17.81,0.982,2.74,2.54,10387,0,344,0,1,20.50,0.3,
"496817 (1989 VB)",1.861,0.4603,2.19,37.84,330.89,1.005,2.72,2.54,10280,0,291,4,2,19.90,0.4,
"499582 (2010 TH19)",1.464,0.3101,6.82,254.22,201.50,1.010,1.92,1.77,3508,0,180,,,20.51,0.461,0.044
"503941 (2003 UV11)",1.454,0.7631,5.93,31.84,124.87,0.344,2.56,1.75,7689,0,884,8,6,19.50,0.260,0.376
"504800 (2010 CO1)",1.013,0.2178,24.02,351.57,252.68,0.792,1.23,1.02,3568,1,131,,,21.90,0.380,0.032
"505657 (2014 SR339)",1.3,0.3038,29.80,138.76,299.62,0.905,1.69,1.48,2445,0,779,5,1,18.54,0.971,0.068
"506074 (2015 UM67)",1.558,0.6871,6.01,150.07,132.24,0.487,2.63,1.94,2228,0,390,,,18.95,0.665,0.110
"510055 (2010 FH81)",1.226,0.2104,16.79,84.62,158.26,0.968,1.48,1.36,4265,0,90,,,21.57,0.200,0.094
"511008 (2013 PX6)",2.597,0.6512,13.66,187.40,229.65,0.906,4.29,4.18,2998,0,442,,,18.50,1.647,0.028
"511684 (2015 BN509)",1.007,0.5683,4.15,120.11,143.19,0.435,1.58,1.01,5924,0,560,5,2,20.82,0.315,0.093
"523589 (2001 HA4)",2.688,0.7934,17.18,354.06,95.64,0.555,4.82,4.41,6306,0,125,,,17.70,1.851,0.047
"523664 (2012 OD1)",0.8287,0.5027,42.27,303.74,224.36,0.412,1.25,0.754,3340,0,744,,,18.54,0.346,0.536
"523775 (2014 YB35)",1.876,0.4840,12.65,3.73,188.63,0.968,2.78,2.57,1965,0,735,1,2,19.00,0.279,0.569
"523816 (2009 ST103)",2.699,0.7186,15.74,226.53,234.63,0.759,4.64,4.43,6790,0,140,,,18.10,0.851,0.141
"529668 (2010 JL33)",2.68,0.7350,5.38,52.46,309.85,0.710,4.65,4.39,8309,0,699,3,1,17.71,1.778,0.047
"529753 (2010 MF1)",2.499,0.5885,9.10,286.95,27.87,1.028,3.97,3.95,3100,0,636,,,19.60,0.363,0.178
"533722 (2014 NE52)",2.385,0.6586,3.86,54.53,337.56,0.814,3.96,3.68,1794,1,313,,,18.00,0.701,0.249
"538212 (2016 CA136)",2.031,0.7813,1.26,239.86,124.88,0.444,3.62,2.9,2506,0,253,,,19.39,0.654,0.079
