2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000, -2.682456095823074E+07,  1.448975704171931E+08,  2.413001115289330E+04, -2.981482351984199E+01, -5.295918918751036E+00, -5.493700746179719E-04,  4.915388505859278E+02,  1.473596402196500E+08,  2.198957137029769E-01,
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000, -2.939636913183274E+07,  1.444175548616508E+08,  2.408293325407058E+04, -2.971630016767289E+01, -5.815198566087211E+00, -5.313340696639912E-04,  4.916035139734902E+02,  1.473790258155500E+08,  2.288966020042758E-01,
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000, -3.195928448400948E+07,  1.438927661083463E+08,  2.403970941795409E+04, -2.960898644863895E+01, -6.332325415742408E+00, -4.608236094147955E-04,  4.916708125651036E+02,  1.473992014257497E+08,  2.381708300196813E-01,
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000, -3.451255120849097E+07,  1.433233927500014E+08,  2.400467889248580E+04, -2.949296444621607E+01, -6.847239781851655E+00, -3.425792057751842E-04,  4.917408145056799E+02,  1.474201874795798E+08,  2.476445162168194E-01,
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000, -3.705541981077861E+07,  1.427096284901199E+08,  2.398171402301639E+04, -2.936829852253646E+01, -7.359882719707258E+00, -1.826232130204275E-04,  4.918135665937594E+02,  1.474419980068898E+08,  2.572435151020633E-01,
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000, -3.958714565286212E+07,  1.420516721600503E+08,  2.397412024801970E+04, -2.923503695186806E+01, -7.870194167673803E+00,  1.198051720452398E-05,  4.918890942889435E+02,  1.474646406402761E+08,  2.668939777997262E-01,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, -4.210698761596814E+07,  1.413497278971076E+08,  2.398455554520339E+04, -2.909321311704844E+01, -8.378111031396102E+00,  2.333453001743813E-04,  4.919674018845981E+02,  1.474881166668575E+08,  2.765229929506143E-01,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000, -4.461420686719289E+07,  1.406040054936428E+08,  2.401496916048974E+04, -2.894284678766090E+01, -8.883565169999846E+00,  4.729915201950874E-04,  4.920484728961206E+02,  1.475124211446744E+08,  2.860594313062735E-01,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000, -4.710806575067800E+07,  1.398147209147720E+08,  2.406656065212935E+04, -2.878394573947010E+01, -9.386481566562502E+00,  7.220837100545552E-04,  4.921322707016985E+02,  1.475375430947835E+08,  2.954348047424557E-01,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000, -4.958782683149357E+07,  1.389820969531630E+08,  2.413975872927159E+04, -2.861650762716686E+01, -9.886777036891489E+00,  9.716456798880557E-04,  4.922187393940071E+02,  1.475634657565908E+08,  3.045838159693079E-01,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000, -5.205275209924166E+07,  1.381063639641220E+08,  2.423421643199772E+04, -2.844052172750317E+01, -1.038435967155361E+01,  1.212718309738126E-03,  4.923078047109443E+02,  1.475901668668780E+08,  3.134443241865164E-01,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000, -5.450210229782724E+07,  1.371877606201681E+08,  2.434881658496708E+04, -2.825597002745406E+01, -1.087912889222928E+01,  1.436437907485821E-03,  4.923993748596479E+02,  1.476176189068373E+08,  3.219566476214057E-01,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000, -5.693513630339026E+07,  1.362265346505842E+08,  2.448168070134521E+04, -2.806282718825873E+01, -1.137097563009055E+01,  1.634041846991785E-03,  4.924933410651676E+02,  1.476457892665589E+08,  3.300624121059661E-01,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -5.935111044166607E+07,  1.352229435895631E+08,  2.463017672431469E+04, -2.786105917728950E+01, -1.185978178186400E+01,  1.796847304017746E-03,  4.925895777831422E+02,  1.476746403087904E+08,  3.377034914861962E-01,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -6.174927763703045E+07,  1.341772556418942E+08,  2.479092688190937E+04, -2.765062083771722E+01, -1.234541783326453E+01,  1.916294330971624E-03,  4.926879427250922E+02,  1.477041293765186E+08,  3.448219494351872E-01,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -6.412888633864499E+07,  1.330897508763441E+08,  2.495982685796171E+04, -2.743145340429710E+01, -1.282773746302817E+01,  1.984191320797635E-03,  4.927882771595089E+02,  1.477342088832344E+08,  3.513622479444728E-01,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -6.648917929853266E+07,  1.319607230486671E+08,  2.513210103964806E+04, -2.720348399491226E+01, -1.330656829088619E+01,  1.993334020200521E-03,  4.928904073526482E+02,  1.477648267448717E+08,  3.572771895743546E-01,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -6.882939250086975E+07,  1.307904823846220E+08,  2.530243311614543E+04, -2.696663021964141E+01, -1.378169913031173E+01,  1.938648954608269E-03,  4.929941484074295E+02,  1.477959275306801E+08,  3.625387277449100E-01,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -7.114875484234810E+07,  1.295793595257542E+08,  2.546521932142973E+04, -2.672081351340125E+01, -1.425286656134064E+01,  1.818869002306656E-03,  4.930993119063606E+02,  1.478274547545165E+08,  3.671532858125454E-01,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000, -7.344648942592128E+07,  1.283277104527426E+08,  2.561497957056016E+04, -2.646598317200668E+01, -1.471974704090028E+01,  1.638423635949238E-03,  4.932057182519694E+02,  1.478593545744134E+08,  3.711781314972591E-01,
